Requirement No,Description,Article No from Chat GPT ,Article Text,Category
R45,ALLOW the data subjects to rectify their personal data ,16,"The data subject shall have the right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her. 2Taking into account the purposes of the processing, the data subject shall have the right to have incomplete personal data completed, including by means of providing a supplementary statement.",UserParticipation
R7,ERASE the personal data when it has been unlawfully processed,19,"The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Article 16, Article 17(1) and Article 18 to each recipient to whom the personal data have been disclosed, unless this proves impossible or involves disproportionate effort. 2The controller shall inform the data subject about those recipients if the data subject requests it.",DataProcessing
R27,PROVIDE the data subjects the recipients/categories of recipients of their personal data, 13(1)(e) ,"Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information: the recipients or categories of recipients of the personal data, if any;",Notice
R27,PROVIDE the data subjects the recipients/categories of recipients of their personal data, 14(1)(e) ,"Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the following information: the recipients or categories of recipients of the personal data, if any;",Notice
R35,OBTAIN the opt-in consent for the processing of personal data for specific purposes , 6(1)(a),"Processing shall be lawful only if and to the extent that at least one of the following applies:
the data subject has given consent to the processing of his or her personal data for one or more specific purposes;",UserParticipation
R26,"PROVIDE the data subjects the information relating to the policies, procedures, practices and logic of the processing of personal data",12(1),"The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child. The information shall be provided in writing, or by other means, including, where appropriate, by electronic means. When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means.",Notice
R50,INFORM the recipients of personal data any rectification or erasure of personal data or restriction of processing ,12(2),"The controller shall facilitate the exercise of data subject rights under Articles 15 to 22. In the cases referred to in Article 11(2), the controller shall not refuse to act on the request of the data subject for exercising his or her rights under Articles 15 to 22, unless the controller demonstrates that it is not in a position to identify the data subject.   ",Complaint/Request
R24,PROVIDE the data subjects the information of action taken on their request of individual's rights,12(3),"The controller shall provide information on action taken on a request under Articles 15 to 22 to the data subject without undue delay and in any event within one month of receipt of the request. 2That period may be extended by two further months where necessary, taking into account the complexity and number of the requests. 3The controller shall inform the data subject of any such extension within one month of receipt of the request, together with the reasons for the delay. 4Where the data subject makes the request by electronic form means, the information shall be provided by electronic means where possible, unless otherwise requested by the data subject.",Complaint/Request
R26,"PROVIDE the data subjects the information relating to the policies, procedures, practices and logic of the processing of personal data",12(5),"Information provided under Articles 13 and 14 and any communication and any actions taken under Articles 15 to 22 and 34 shall be provided free of charge. Where requests from a data subject are manifestly unfounded or excessive, in particular because of their repetitive character, the controller may either:
(a) charge a reasonable fee taking into account the administrative costs of providing the information or communication or taking the action requested; or
(b) refuse to act on the request.
The controller shall bear the burden of demonstrating the manifestly unfounded or excessive character of the request.",Complaint/Request
R31,REQUEST the data subjects the additional information necessary to confirm their identity when making a request relating to the processing of personal data ,12(6),"Without prejudice to Article 11, where the controller has reasonable doubts concerning the identity of the natural person making the request referred to in Articles 15 to 21, the controller may request the provision of additional information necessary to confirm the identity of the data subject.",Complaint/Request
R30,PROVIDE the data subjects the information relating to the processing of personal data with standardised icons ,12(7),"The information to be provided to data subjects pursuant to Articles 13 and 14 may be provided in combination with standardised icons in order to give in an easily visible, intelligible and clearly legible manner a meaningful overview of the intended processing. 2Where the icons are presented electronically they shall be machine-readable.",Notice
R22,PROVIDE the data subjects with the identity and contact details of a controller/controller's representative,13(1)(a),"Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information: the identity and the contact details of the controller and, where applicable, of the controller’s representative;",Notice
R20,PROVIDE the data subjects with the contact details of a data protection officer (DPO),13(1)(b),"Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information:the contact details of the data protection officer, where applicable;",Notice
R39,PROVIDE the data subjects the purpose(s) of the processing of personal data ,13(1)(c),"Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information: the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;",Notice
R9,INFORM the data subjects about the transfer of their personal data to a third country or an international organisation,13(1)(f),"Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, where applicable, the fact that the controller intends to transfer personal data to a third country or international organisation and the existence or absence of an adequacy decision by the Commission, or in the case of transfers referred to in Article 46 or 47, or the second subparagraph of Article 49(1), reference to the appropriate or suitable safeguards and the means by which to obtain a copy of them or where they have been made available.",DataProcessing
R55,PROVIDE the data subjects the period/criteria used to store their data ,13(2)(a),"In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing: the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period;",Notice
R11,INFORM the data subjects the individual rights relating to the processing of personal data,13(2)(b),"In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing: the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject or to object to processing as well as the right to data portability;",Notice
R29,PROVIDE the data subjects the consequences of not providing personal data based on the statutory or contractual requirement,13(2)(e),"the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing: whether the provision of personal data is a statutory or contractual requirement, or a requirement necessary to enter into a contract, as well as whether the data subject is obliged to provide the personal data and of the possible consequences of failure to provide such data;",Notice
R21,PROVIDE the data subjects the existence and relevant information of automated decision-making including profiling,13(2)(f) ,"The controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing: the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.",Notice
R37,PROVIDE the data subjects the additional information when further processing is required for a purpose other than the consent obtained ,13(3),"Where the controller intends to further process the personal data for a purpose other than that for which the personal data were collected, the controller shall provide the data subject prior to that further processing with information on that other purpose and with any relevant further information as referred to in paragraph 2.",Notice
